code,name,vendor_code,color,price,stock,sizes
Т157,"Трусики стринги, два цвета. Код: Т157",2269,"черн,бел",180,13,б.S
Т158,"Трусики стринги, два цвета. Код: Т158",2288,"черн,моло",180,13,м.XL
Т159,Мужские трусы плавки 46-50,B109,"голубой, черный, синий",50,13,гол XL
Т160,"Трусики стринги, три цвета, S, M, L, XL. Код: Т160",60591,"бел,моло,кофей",180,15,б.M
Т163,"Трусики стринги, два цвета. Код: Т163",2301,"черн,моло",180,14,м.L
Т164,"Трусики американки на регуляторах, два цвета. Код: Т164",К7,"черн,бел",150,14,б.M
Т168,"Трусики стринги с кружевом XL, разные цвета. Код: Т168",63167,"чёрный, белый, бежевый",60,13,беж.XL
Т170,Мужские плавки INDENA. Код: Т170,20343,белый,140,17,2XL
Т171,Подростковые плавки INDENA. Код: Т171,40500,"серый, черный",65,22,7-9
Т172,Мальчуковые плавки IN.INCONT. Код: Т172,2020,"серый, черный, синий",60,23,XS
Т179,"Бесшовные трусики слипы, S, M, L. Код: Т179",9485,"бел,чер,беж,роз",100,14,роз.M
Т180,"Бесшовные трусики американки, M, L, XL. Код: Т180",9486,"бел,чер,беж,роз",100,14,бел.XL
Т181,Хлопковые трусики на детей 2-3 лет. Код: Т181,40091,белый,35,19,1
Т222,"Кружевные женские трусики, 44, 46, 48. Код: Т222",6025,"чер-беж,бел",120,20,ч-б.L
Т223,"Черные боксёры Calvin Klein яркая резинка, L, XL, 2XL, 3XL. Код: Т223",Хлопок,разные,230,13,L
Т223,Черные боксёры Calvin Klein 3XL. Код: Т223,Хлопок,разные,230,14,3XL
Т237,Бесшовные трусики джинсовый принт. Код: Т:237,,разные,85,13,крас
Т238,"Неоновые трусики-американки с гипюром, р.L. Код: Т238",63163-1,разные,65,13,1
Т253,"Женские стринги Calvin Klein, L с красной резинкой. Код: Т253",,разные,160,18,т-син
Т263,"Трусики Coeur Joie, три цвета. Код: Т263",2207,"мол,беж,слив",160,13,м.L
Т264,Черные трусики бикини Coeur Joie. Код: Т264,2126,"черн,бел",180,15,ч.M
Т270,"Трусики стринги ""Огородик"". Код: Т270",033т,разные,38,13,жел
Т271,Бесшовные стринги с проклеенными швами на тонких резинках. Код: Т271,РД241_чорний,черный,120,13,L
Т272,"Бесшовные трусики-бразильяны, кофейные. Код: Т272",9916,кофейный,120,14,L
Т273,Бесшовные бразильяны с V-образным вырезом. Код: Т273,028,молоч (беж),120,24,S
Т280s,"Спортивные стринги 42-44, 46-48. Код: Т280s",0622,разные,75,14,XL
Т281,"Хлопковые трусики бразильяны, S-M, L-XL. Код: Т281",Т127,разные,95,14,роз.S-M
Т282,"Бежевые трусики бразильяны, M, L, XL. Код: Т282",515,бежевый,120,13,L
Т283,"Детские трусики ""Покемоны"". Код: Т283",1042 XL,разные,30,15,1
Т285,"Детские трусики-шорты ""Белоснежка"". Код: Т285",0652,разные,30,16,1
Т286,"Трусики-шортики ""Даша"". Код: Т286",0650,разные,30,14,1
Т289,Трусики коттоновые с кружевом сверху. Код: Т289,580,разные,65,13,1
Т290,"Бесшовные трусики стринги, L, XL, 2XL. Код: Т290",664,"пудр,розов,красн,черн,беж,сирень,зелен",120,15,пуд.2XL
Т291,"Хлопковые трусики, 2XL, 3XL, 4XL (50, 52, 54). Код: Т291",9463,"бел,беж,сирен,чер,сер,бор,зел,син",120,13,сир.3XL
Т292,"Коттоновые трусики стринги, S, M, L. Код: Т292",6267,"пудр,борд",120,23,пуд.S
Т292,"Коттоновые трусики стринги, S, M, L. Код: Т292",6267,"бел, черн",120,13,бел.S
Т303,Молодежные трусики. Код: Т303,040,"черн, бел",120,13,б.XL
Т304,"Трусики стринги с высокой талией, M. Код: Т304",597,разные,100,15,красн
Т305,"Черные трусики из хлопка, M, L, XL, 2XL. Код: Т305",C001,черный,95,16,M
Т309,"Трусики эротические, M. Код: Т309",#0501,"черн, красн",85,13,крас
Т310,"Трусики Anttifu, все расцветки. Код: Т310",8856,разные,130,15,бор.XL
Т327,"Трусики-шорты кружевные х/б, 48-50. Код: Т327",G917,разные,80,13,1
Т330,"Трусики х/б бразильяна, L. Код: Т330",336,разные,85,13,син
Т333,"Трусики бикини, три цвета. Код: Т333",9827,"кра,шам,чер",160,14,кра.XL
Т334,"Хлопковые трусики стринги с кружевом, р.46, 48, 50. Код: Т334",5108,разные,85,16,1
Т341,Трусики. Код: Т341,#6811,разные,95,22,1
Т353,Трусики утягивающая сетка. Код: Т353,026,"беж, бел",170,13,беж.XL
Т358,"Трусики бразильяны, р. М. Код: Т358","300160, 300-179",разные,85,15,M
Т363,Трусики. Код: Т363,7702,разные,85,14,1
Т365,"Три цвета, трусики стринги, S, M, L, XL. Код: Т365",1911,"бел,слива",160,14,б.M
Т366,"Трусики бикини черные, S, M, L. Код: Т366",2027,черный,140,13,ч.S
Т367,"Кружевные трусики бразильяны, M. Код: Т367",4376,разные,85,13,M
Т369,"Бесшовные трусики бразильяны, M. Код: Т369",0339,разные,100,18,бел
Т370,"Черные трусики танга кружевная попа, M, L. Код: Т370",4902,черный,85,15,ч.М
Т376,"Cтринги с камушком, два цвета, M, L, XL. Код: Т376",1898,"черн, крас",160,15,ч.L
Т381,"Трусики хлопок, 3XL, 4XL, 5XL. Код: Т381",919,разные,90,16,1
Т382,"Трусики хлопок, 2XL, 3XL, 4XL. Код: Т382",336,разные,90,15,1
Т383,"Трусики, S, M, L. Код: Т383",6703,разные,80,13,1
Т385,"Кружевные стринги, три цвета, S, M, L. Код: Т385",1909,"крас,зел,бел",140,16,к.L
Т386,"Трусики бикини,р. 44-48. Код: Т386",1902,"кра,бел,чер, пудра",180,21,к.S
Т387,"Трусики бикини, р. 44-48. Код: Т387",1889,"чер,молоч,бор,крас,белый, шампань",180,24,ч.S
Т390,"Трусики слипы хлопок, XL, 2XL, 3XL. Код: Т390",7680,разные,80,15,1
Т391,"Реплика стринги Calvin Klein хлопок: S, M. Код: Т391",660,черные,170,13,S
Т394,"Трусики бикини два цвета, S, M, L. Код: Т394",2003,крас,160,13,к.М
Т395,Сексуальные трусики бразильяны. Код: Т395,2019,"красн,бордо",140,14,б.L
Т397,Коттоновые трусики слипы. Код: Т397,202,разные,50,14,1
Т398,"Трусики, р.54, 56, 58 (2XL, 3XL, 4XL). Код: Т398",А648,разные,160,19,кр.3XL
Т399,"Трусики, р. 52, 54, 56 (4XL, 5XL, 6XL). Код: Т399",3056,разные,160,27,ч.5XL
Т401,"Трусики, р. 44, 46, 48 (L, XL, 2XL). Код: Т401",5168,разные,120,20,син.L
Т402,"Трусики, р.L, XL, 2XL. Код: Т402",6352,разные,120,17,ч.L
Т403,"Молочные трусики бикини, S, M, L, XL. Код: Т403",2262,молочный,180,16,м.M
Т404,Трусики бикини Annajolly цвета шампань. Код: Т404,60136,молочный,180,13,м.L
Т405,"Трусики бикини Annajolly, три цвета. Код: Т405",73046,"крас,мол,пудра",180,13,п.XL
Т406,Белые трусики бикини Annajolly. Код: Т406,60561,белый,180,16,б.M
Т407,Красные трусики бикини Annajolly. Код: Т407,60811,красный,180,15,к.M
Т408,Трусики бикини Annajolly черного цвета. Код: Т408,73160,черный,180,14,ч.M
Т409,"Трусики бикини 3XL, 4XL, 5XL, разные цвета. Код: Т409",9186,разные,180,14,4XL
Т410,"Трусики бикини 46, 48, 50, разные цвета. Код: Т410",9081,разные,180,13,46
Т411,"Трусики бикини S-M, L-XL, разные цвета. Код: Т411",80044,разные,130,13,L-XL фио
Т412,"Трусики микрофибра M, L, XL, разные цвета. Код: Т412",80238,разные,120,17,M
Т413,"Трусики хлопок M, L, XL, разные цвета. Код: Т413",9144,разные,120,14,L
Т414,"Черные трусики микрофибра, р. M. Код: Т414",6174,черный,150,13,M
Т415,"Трусики хлопок два цвета, р. M. Код: Т415",6107,"молоч,черн",120,16,м.M
Т416,Мужские трусы Calvin Klein резинка люрекс 3XL. Код: Т416,9011,разные,220,13,3XL
Т417,Мужские трусы Calvin Klein черная резинка 2XL. Код: Т417,9047,разные,220,27,2XL
Т418,Мужские трусы Tommy Hilfiger 3XL. Код: Т418,9051,разные,220,13,3XL
Т419,"Мужские трусы Kenzo L, XL, 2XL. Код: Т419",7008,разные,220,18,L
Т421,"Кружевные трусики, M, L, XL. Код: Т421",Q8353,"чер,мол,беж,крас",120,13,беж.XL
Т422,"Трусики из хлопка, S/M, L/XL. Код: Т422",1816а,"чер,бел,беж,роз",100,14,1
Т423,"Трусики в широкий рубчик, S, M, L. Код: Т423",4047,разные,70,14,M
Т425,"Леопардовые стринги 2-х расцветок, L, XL . Код: Т425",8897с,леопард,120,17,с-л.L
Т426,"Мужские трусы семейные, L, XL, 2XL. Код: Т426",7651,разные,120,27,L
Т427,Черные стринги в сетку. Код: Т427,889а,черные,150,20,1
Т428,"Стринги 2XL, 3XL, 4XL. Код: Т428",803,разные,180,29,1
Т429,"Трусики с высокой посадкой 3XL, 4XL. Код: Т429",3932а,разные,150,21,1
Т430,"Трусики стринги 2XL, 3XL, 4XL. Код: Т430",8013а,разные,150,18,мол
Т431,"Красные трусики с открытым доступом, р.46-48. Код: Т431",1000,красн,210,13,1
Т432,"Полупрозрачные стринги, р.42-46. Код: Т432",035а,разные,150,14,1
Т433,"Трусики с доступом, черные и красные, S-M. Код: Т433",1421,"черн,красн",200,16,чер
Т434,"Красные стринги, M, L, XL, 2XL. Код: Т434",247,красн,180,16,L
Т435,"Трусики бикини с бантиком, два цвета. Код: Т435",1927,"черн,крас",180,31,кр.M
Т436,"Белые трусики бикини, S, M, L, XL. Код: Т436",2372,белый,180,16,б.S
Т437,"Х/б боксерки удлиненные, S, M, L, XL, 2XL. Код: Т437",Т802,черный,180,17,ч.S
Т438,"Мужские черные х/б боксерки, S, M, L, XL. Код: Т438",Т801,черный,160,16,ч.S
Т439,"Х/б боксерки однотонные, 4XL, 5XL. Код: Т439",8866,разные,150,24,4XL
Т440,"Х/б боксеры в полоску, 6XL. Код: Т440",8065,разные,150,17,6XL
Т441,"Мужские трусы боксеры со светлой резинкой, 4XL. Код: Т441",9082,разные,150,16,4XL
Т442,Трусики бразильяны в 3-х расцветках. Код: Т442,2398,"красный, черный, леопард, белый, бежевый, бел-беж",195,48,кр.M
Т443,Трусики бразильяны в 2-х расцветках. Код: Т443,2308,"красный, черный",190,18,кр.M
Т444,"Трусики стринги S-M, L-XL в разных расцветках. Код: Т444",20425,"бордо, зел,черн,бел,сер,бирюз",120,24,бор.S-M
Т445,Трусики бразильяны в 2-х расцветках. Код: Т445,2167,"красный, черный",190,19,к.S
Т446,Трусики слипы в 2-х расцветках. Код: Т446,2399,"капучино, белый",195,24,ка.M
YT1,"Комплект Your Touch ""Madonna"" в чашці 80В, трусики-хіпстери M. Код: YT1",#MD-6000,чорно-синій,850,1,80В
А95,Модный комплект с пуш-ап чашкой B80. Код: А95,,бірюзовый,300,1,80B
С8,"Комплект без косточки чашка В, три цвета. Код: С8",#6036,зелений,550,1,85В
С11,Литой комплект Victoria's Secret в чашках В и С. Код: С11,#8127-1,бузковий,799,1,75С
С17,Черный ажурный комплект в чашке D. Код: С17,#7244,чорний,680,2,95D
С24,"Комплект с пуш-апом, чашка С. Код: С24",#К8270,малиновий,260,2,75C
С30,"Комплект белья Weiyesi, чашка B. Код: С30",#9414В,малиновий мікс,200,2,80B
С43,"Черный сексуальный комплект, размеры S, L. Код: С43",#510,чорний,699,1,L
С48,Синий комплект чашка С. Код: С48,#2118,синій,580,1,75С
С50,Синий комплект Calvin Klein черная резинка. Код: С50,#660,синій,620,3,M
С55,Комплект реплика Victoria's Secret. Код: С55,#8030,"капучіно, червоний",900,2,85В капучіно
С55,Комплект реплика Victoria's Secret. Код: С55,#8030,"жовтий, марсал",900,2,75С жовтий
С60,"Нарядный комплект в чашке C, разные цвета. Код: С60",#5967,чорний,480,1,75С
С63,"Гладкий комплект без косточек, разные цвета. Код: С63",#2160,білий,650,1,85В
С77,"Комплект Victoria's Secret чашка В, два цвета. Код: С77",#325,червоний,1250,1,80В
С84,Комплект нижнего белья чашка В. Код: С84,#5423,чорний,480,1,85В
