code,name,vendor_code,color,price,stock,sizes
Б288,"Бюстик в форме цветка, чашка С, три цвета. Код: Б288",#8487,"бордо, пудра",320,4,75C бордо
Б289,"Бюстик балконет чашка В, три цвета. Код: Б289",#992,"білий, пудра",380,2,75B білий
Б290,"Белый кружевной бралетт M, L, XL. Код: Б290",#8075,білий,320,3,M білий
Б304,Черный бюстик без поролона на чашку D. Код: Б304,#2193,чорний,370,1,90D чорний
Б316,Бюстгальтер чашка В. Код: Б316,#1747,синій,310,3,80B синій
Б321,Бюстики в чашке А без пуша. Код: Б321,"#6237, 6252",персиковий,210,2,70А персиковий
Б340,"Бралетт цвета бордо на косточке, M, L, XL. Код: Б340",#1767,бордо,350,1,L бордо
Б343,Черный бюстик без поролона на чашку С. Код: Б343,#3-470С,чорний,280,1,80С чорний
Б346,Бюстик на чашку D цвета фуксия. Код: Б346,#6081-1,фуксія,380,1,90D фуксія
Б351,Шикарный бюст на пушап корректоре чашка В. Код: Б351,#18060,червоний,420,1,80B червоний
Б352,"Бюстик в чашке G, два цвета. Код: Б352",#2036,"чорний, темно-сірий",440,4,105G чорний
Б353,Бюстик пушап чашка В в 2х цветах. Код: Б353,#6316,"чорно-бежевий, білий",420,1,80B чорно-бежевий
Б360,Бежевый бюстгальтер чашка D. Код: Б360,#107,бежевий,440,2,85D бежевий
Б361,"Шикарный бюст для пышной груди, чашка D. Код: Б361",#378л,"чорно-бежевий, молочний",450,3,90D чорно-бежевий
Б362,"Бюстгальтер спейсер чашка Е, два цвета. Код: Б362",#8217,"молочний, чорний",460,1,100Е молочний
Б363,"Пушап бюстик-анжелика на чашку, два цвета B. Код: Б363",#8072,"молочний, чорний",380,4,80B молочний
Б365,Черно-леопардовый бюстик на чашку D. Код: Б365,#80002,леопард,580,2,95D леопард
Б369,"Бюстик без поролона в чашках С и D, 3 цвета. Код: Б369",#356,червоний,460,2,75D червоний
Б373,Черно-бежевый пушап бюстик чашка В. Код: Б373,#2362,чорно-бежевий,420,3,75В чорно-бежевий
Б374,Белый бюстик на поролоне чашка С. Код: Б374,#2375,білий,420,1,80С білий
Б375,Белый бюстик на поролоне чашка С. Код: Б375,#7240,білий,420,1,75С білий
Б376,Бежевый гладкий бюстик чашка С. Код: Б376,#7259,бежевий,420,1,90С бежевий
Б379,"Роскошный бюстик чашка В, 4 цвета. Код: Б379",#18803,червоний,420,6,80В червоний
Б384,"Бюстик без косточек чашка В, два цвета. Код: Б384",#2226,"молочний, чорний",380,8,85В молочний
Б385,"Бюстик с пушапом чашка В, два цвета. Код: Б385",#6102,білий,420,5,85В білий
Б387,Белый бюстик чашка В поролон. Код: Б387,#6020,білий,420,2,85В білий
Б388,Белый бюстик чашка С с небольшим корректором. Код: Б388,#2321,білий,420,4,75C білий
Б389,Бюстик в чашці B без поролону. Код: Б389,#2372,"бежевий, молочний,чорний",430,7,85В бежевий
Б389,Бюстик в чашці C без поролону. Код: Б389,#2372-1,"бежевий, молочний,чорний",430,4,90С бежевий
Б389,Бюстик в чашці D без поролону. Код: Б389,#2372-2,бежевий,430,1,80D бежевий
